date,spain_industrial_production,spain_exchange_rates_per_USD,spain_international_reserves_liquidity,spain_consumer_prices,us_international_reserves_liquidity,us_consumer_prices,spain_nominal_exchange_rate_growth,spain_real_exchange_rate,spain_real_exchange_rate_growth,spain_inflation_rate,spain_industrial_production_growth,spain_industrial_production_growth_vs_12_months_ago,spain_international_reserves_liquidity_index,us_inflation_rate,us_international_reserves_liquidity_index
1968-08-01,31.7458630767331,70.00000007,1141.01,4.75146098420098,14427.0,16.0509595034292,0.0,236.46772436931914,0.0022535590369727743,0.000610394914943857,-0.1598386095592792,0.05577223088923522,489.7038626609442,0.002865329512893311,67.17074601570903
1968-09-01,38.6298016160912,70.00000007,1166.01,4.74392625666686,14633.9,16.0968193877247,0.0,237.51999868969162,0.004449970173219242,-0.001585770683832477,0.2168452161063914,0.08784676354029175,500.4334763948497,0.0028571428571420032,68.13405282590173
1968-10-01,41.1980853300936,70.00000007,1166.01,4.7589957117351,14427.5,16.1885391563157,0.0,238.11699163354362,0.002513442855950565,0.00317657869303134,0.0664845173041888,0.14467253176930694,500.4334763948497,0.0056980056980040494,67.17307396836777
1968-11-01,41.7375421832631,70.00000007,1132.01,4.79029310903481,15659.7,16.2343990406112,0.0,237.23139860395003,-0.003719150924586301,0.006576471002597062,0.01309422146313799,0.12235887732576689,485.84120171673817,0.0028328611898011946,72.91008050060294
1968-12-01,42.9923657330268,70.00000007,1149.02,4.82217089015942,15709.9,16.2802589249067,0.0,236.32885516535717,-0.003804485594673057,0.006654661917135485,0.030064624894632352,0.15428211586901686,493.14163090128756,0.0028248587570613992,73.14380694754192
1969-01-01,43.5904592006712,70.00000007,1128.01,4.81115842064905,15454.0,16.3261188092022,0.0,237.53703741744778,0.005112292577414079,-0.0022837161438726827,0.013911620294599025,0.1608369768894431,484.12446351931334,0.0028169014084500343,71.95236077679125
1969-02-01,42.5115454943323,70.00000007,1137.01,4.78217913791907,15499.4,16.4178385777933,0.0,240.3190404311928,0.01171187046867117,-0.006023348265898565,-0.024751143395210673,0.11264579496623761,487.98712446351936,0.005617977528094675,72.16373887820617
1969-03-01,46.9327462257429,70.00000007,1096.01,4.81115842064905,15758.4,16.5554182306798,0.0,240.87323176319904,0.0023060650167872065,0.006059848845936244,0.10400000000000098,0.20760410380205507,470.3905579399142,0.008379888268154057,73.36961835544112
1969-04-01,45.7365592904541,70.00000007,1097.01,4.86795849894575,15947.6,16.6471379992708,0.0,239.3815932010562,-0.00619262900748252,0.011805904800997524,-0.02548725637181415,0.19889332923455316,470.81974248927037,0.005540166204984764,74.25051564151393
1969-05-01,46.8741096112679,70.00000007,1100.01,4.86795849894575,16069.9,16.6929978835663,0.0,240.0410466258523,0.002754820936638147,0.0,0.024871794871793362,0.16837182110493965,472.107296137339,0.002754820936638369,74.81993286184533
1969-06-01,45.795195904929,70.00000007,1118.01,4.81115842064905,16057.1,16.7847176521574,0.0,244.2094261089503,0.017365277904304532,-0.011668151712674213,-0.02301726294720996,0.18011483831973485,479.83261802575106,0.005494505494510138,74.7603372737812
1969-07-01,43.766369044096,70.00000007,1187.01,4.84883091807637,15935.8,16.8764374207484,0.0,243.63617552216164,-0.0023473728918756986,0.007830234245796985,-0.04430217669654368,0.15828677839851069,509.44635193133047,0.005464480874315392,74.19557595876731
1969-08-01,37.0114310565828,70.00000007,1162.13,4.86390151338788,16195.1,16.9681571893394,0.0,244.2012859783841,0.0023194850067373984,0.003108088437426604,-0.15434083601286153,0.16586627262652343,498.7682403433477,0.005434782608694455,75.40285220759752
1969-09-01,45.795195904929,70.00000007,1106.13,4.87317397166686,16743.2,17.0140170736349,0.0,244.39537830373234,0.0007948046815995369,0.0019063828191130394,0.23732572877059654,0.18548876745598064,474.73390557939916,0.002702702702702009,77.95475391212446
1969-10-01,48.1289331610316,70.00000007,1109.13,4.89172116871134,16315.8,17.105736842226,0.0,244.78124137820825,0.001578847673610051,0.003805978845063951,0.05096030729833423,0.1682322801024756,476.02145922746786,0.00539083557951936,75.96481997942091
1969-11-01,46.3932893725734,70.00000007,1111.13,4.93519066292794,16000.3,17.197456610817,0.0,243.92613096062453,-0.0034933658019263847,0.008886339330753446,-0.03606237816764013,0.11154818769317143,476.8798283261803,0.0053619302949046155,74.49588185174666
1969-12-01,46.9913828402178,70.00000007,1281.13,4.98735337184188,16963.6,17.289176379408,0.0,242.66224138071206,-0.00518144396803677,0.010569542795129339,0.012891809908999186,0.09301691216584884,549.8412017167382,0.00533333333333208,78.98091544410353
